team,players_used,mp,starts,minutes,90s,GA,GA_p90,SoTA,saves,save%,wins,draws,losses,CS,CS%,pkA,pk_conc,pk_saved,pk_miss,pk_save%
Arsenal,2,33,33,"2,970",33.0,40,1.21,125,83,71.2,19,3,11,13,39.4,5,4,0,1,0.0
Aston Villa,2,32,32,"2,880",32.0,46,1.44,119,77,63.9,11,4,17,10,31.3,5,3,1,1,25.0
Brentford,3,34,34,"3,060",34.0,49,1.44,156,110,69.9,11,7,16,8,23.5,2,2,0,0,0.0
Brighton,2,34,34,"3,059",34.0,42,1.24,133,93,70.7,9,14,11,9,26.5,4,3,0,1,0.0
Burnley,2,33,33,"2,970",33.0,45,1.36,144,100,70.8,6,13,14,9,27.3,3,3,0,0,0.0
Chelsea,2,32,32,"2,880",32.0,27,0.84,92,71,77.2,19,8,5,15,46.9,6,6,0,0,0.0
Crystal Palace,2,32,32,"2,880",32.0,41,1.28,120,84,68.3,8,13,11,9,28.1,4,3,1,0,25.0
Everton,2,32,32,"2,880",32.0,55,1.72,152,102,64.5,8,5,19,6,18.8,1,1,0,0,0.0
Leeds United,2,32,32,"2,880",32.0,68,2.12,183,118,65.6,8,9,15,4,12.5,5,5,0,0,0.0
Leicester City,1,32,32,"2,880",32.0,51,1.59,152,108,70.4,11,9,12,6,18.8,9,6,2,1,25.0
Liverpool,2,33,33,"2,970",33.0,22,0.67,89,66,75.3,24,7,2,20,60.6,0,0,0,0,
Manchester City,2,33,33,"2,970",33.0,21,0.64,74,52,73.0,25,5,3,19,57.6,1,1,0,0,0.0
Manchester Utd,1,34,34,"3,060",34.0,51,1.50,159,112,69.8,15,9,10,7,20.6,6,3,3,0,50.0
Newcastle Utd,3,34,34,"3,060",34.0,55,1.62,136,86,63.2,11,10,13,7,20.6,6,5,1,0,16.7
Norwich City,2,33,33,"2,970",33.0,69,2.09,178,116,65.7,5,6,22,6,18.2,12,8,2,2,20.0
Southampton,3,34,34,"3,060",34.0,56,1.65,159,106,66.0,9,13,12,8,23.5,2,2,0,0,0.0
Tottenham,1,33,33,"2,970",33.0,38,1.15,123,88,70.7,18,4,11,13,39.4,2,2,0,0,0.0
Watford,2,33,33,"2,970",33.0,67,2.03,148,87,58.1,6,4,23,3,9.1,6,5,1,0,16.7
West Ham,2,34,34,"3,060",34.0,44,1.29,136,90,69.1,15,7,12,7,20.6,5,2,2,1,50.0
Wolves,1,33,33,"2,970",33.0,29,0.88,130,109,83.1,15,4,14,11,33.3,7,7,0,0,0.0
