team,players_used,90s,attempted,live,dead,freekick,tb,pressure,switch_pass,cross,corners,ck_inswing,ck_outswing,ck_straight,ground,low,high,left_f,right_f,head,throw_ins,other,completed,offsides,oob,intercepted,blocked
Arsenal,27,33.0,16885,15472,1413,352,26,2170,440,364,171,117,21,14,12064,2003,2818,7090,8014,609,595,213,13870,54,260,477,326
Aston Villa,30,32.0,13345,11807,1538,452,30,1872,412,384,172,102,38,13,8783,1627,2935,4425,7191,570,591,178,10378,36,264,401,317
Brentford,28,34.0,14071,12481,1590,393,25,2058,334,367,141,75,38,15,8077,2103,3891,4240,7327,937,707,244,10134,55,302,510,397
Brighton,26,34.0,18404,16869,1535,349,18,2471,515,435,184,72,87,6,13012,2149,3243,4543,11870,606,714,250,14845,44,284,572,478
Burnley,23,33.0,12009,10521,1488,318,23,2072,416,393,156,131,8,5,5828,1929,4252,3476,6108,829,676,209,8163,86,279,382,390
Chelsea,25,32.0,19954,18534,1420,382,49,2682,370,401,202,94,81,6,15189,2105,2660,4339,13903,568,605,196,17044,53,215,518,364
Crystal Palace,24,32.0,15600,14023,1577,441,16,2089,392,350,141,65,39,8,10434,1846,3320,3955,9622,631,696,236,12380,51,273,464,359
Everton,32,32.0,12278,10771,1507,353,18,2197,340,351,133,67,46,4,7218,1792,3268,3041,7275,630,685,171,8912,47,321,449,375
Leeds United,29,32.0,15278,13763,1515,354,23,2126,471,391,151,82,39,7,10080,2286,2912,6228,7229,568,677,294,11913,50,315,546,409
Leicester City,26,32.0,16211,14657,1554,406,25,2527,371,276,160,81,46,7,11457,1897,2857,4055,10334,611,638,171,13046,48,280,520,388
Liverpool,27,33.0,21649,20116,1533,390,63,2688,622,476,247,42,179,4,15560,2535,3554,5207,14380,731,674,280,18068,52,234,640,479
Manchester City,25,33.0,23720,22337,1383,355,60,2740,641,525,277,117,47,23,18715,2126,2879,8723,13300,610,569,213,20891,55,225,510,411
Manchester Utd,27,34.0,17889,16371,1518,331,41,2661,587,390,180,66,77,6,12802,2169,2918,5078,11004,567,654,208,14615,68,244,607,402
Newcastle Utd,29,34.0,12384,10802,1582,383,17,2051,415,365,144,78,43,14,7329,1781,3274,2900,7477,635,663,194,9211,45,261,372,332
Norwich City,27,33.0,13580,11970,1610,421,21,2052,443,332,144,71,59,4,8550,1820,3210,4210,7443,656,673,219,10310,45,271,456,347
Southampton,25,34.0,15041,13432,1609,368,24,2403,341,400,216,103,93,2,9606,1796,3639,3121,9778,764,683,186,11330,30,290,448,398
Tottenham,25,33.0,17479,16028,1451,375,51,2239,397,347,170,64,59,5,13049,1819,2611,4292,11470,549,593,182,14611,50,197,519,405
Watford,30,33.0,12480,10906,1574,343,16,1973,370,326,140,76,48,2,6934,1926,3620,3600,6750,737,719,166,9013,40,287,411,356
West Ham,25,34.0,15945,14444,1501,274,30,2316,465,464,183,117,42,7,10422,2078,3445,4011,9854,697,696,211,12486,47,305,437,399
Wolves,25,33.0,16311,14855,1456,377,24,2300,500,326,144,31,75,7,11171,2000,3140,5002,9447,593,641,254,13143,49,260,495,365
