team,players_used,90s,completed,attempted,completion%,total_distance,prog_distance,short_completed,short_attem,short_comp%,med_completed,medium_attem,medium_comp%,long_completed,long_attem,long_comp%,assists,xA,assists-xA,key_passes,final_third_pass,pen_passes,crosses,prog_passes
Arsenal,27,33.0,13870,16885,82.1,259425,76709,5931,6654,89.1,5975,6732,88.8,1699,2907,58.4,34,32.3,+1.7,366,982,311,70,1029
Aston Villa,30,32.0,10378,13345,77.8,203640,71587,4167,4799,86.8,4487,5238,85.7,1529,2796,54.7,33,27.8,+5.2,287,797,257,63,952
Brentford,28,34.0,10134,14071,72.0,204419,76477,3918,4759,82.3,4361,5488,79.5,1655,3197,51.8,27,27.4,-0.4,257,764,229,71,910
Brighton,26,34.0,14845,18404,80.7,290424,86656,5818,6601,88.1,6661,7591,87.7,2108,3485,60.5,23,23.8,-0.8,293,1015,297,76,1066
Burnley,23,33.0,8163,12009,68.0,169635,70984,3520,4292,82.0,2891,3795,76.2,1571,3346,47.0,23,22.4,+0.6,229,700,214,75,749
Chelsea,25,32.0,17044,19954,85.4,313178,94822,7306,7989,91.5,7495,8336,89.9,1931,2938,65.7,44,38.8,+5.2,346,1246,364,51,1322
Crystal Palace,24,32.0,12380,15600,79.4,241980,76988,4832,5504,87.8,5638,6524,86.4,1701,3005,56.6,27,25.7,+1.3,234,752,234,66,857
Everton,32,32.0,8912,12278,72.6,176289,66445,3702,4375,84.6,3565,4467,79.8,1387,2787,49.8,23,22.1,+0.9,268,717,218,64,788
Leeds United,29,32.0,11913,15278,78.0,232323,76999,4703,5429,86.6,5255,6120,85.9,1712,3055,56.0,24,26.7,-2.7,305,853,267,51,1118
Leicester City,26,32.0,13046,16211,80.5,244078,78989,5499,6218,88.4,5780,6609,87.5,1540,2769,55.6,35,27.2,+7.8,248,760,209,34,933
Liverpool,27,33.0,18068,21649,83.5,357846,113379,6931,7740,89.5,8218,9265,88.7,2688,3935,68.3,64,52.2,+11.8,427,1574,447,79,1694
Manchester City,25,33.0,20891,23720,88.1,397787,103585,8681,9369,92.7,9253,10072,91.9,2724,3672,74.2,50,49.8,+0.2,441,1716,479,70,1512
Manchester Utd,27,34.0,14615,17889,81.7,275640,83653,6321,7157,88.3,6042,6920,87.3,1971,3101,63.6,43,38.3,+4.7,372,1128,299,65,1186
Newcastle Utd,29,34.0,9211,12384,74.4,188990,71928,3702,4381,84.5,3712,4517,82.2,1576,2933,53.7,22,22.5,-0.5,273,684,189,55,676
Norwich City,27,33.0,10310,13580,75.9,209083,71280,4040,4691,86.1,4376,5224,83.8,1727,3140,55.0,15,19.6,-4.6,224,627,207,44,817
Southampton,25,34.0,11330,15041,75.3,212591,73428,5012,5835,85.9,4713,5734,82.2,1383,2869,48.2,24,31.0,-7.0,320,851,243,52,965
Tottenham,25,33.0,14611,17479,83.6,275148,83479,6138,6782,90.5,6446,7259,88.8,1789,2801,63.9,41,41.5,-0.5,317,1019,304,61,1141
Watford,30,33.0,9013,12480,72.2,186554,70943,3508,4198,83.6,3775,4681,80.6,1553,3062,50.7,25,25.3,-0.3,260,663,194,61,801
West Ham,25,34.0,12486,15945,78.3,244756,81448,5151,5844,88.1,5259,6198,84.8,1865,3297,56.6,41,33.0,+8.0,293,926,275,85,1024
Wolves,25,33.0,13143,16311,80.6,266240,82385,4856,5531,87.8,5929,6746,87.9,2163,3461,62.5,18,20.8,-2.8,243,888,193,49,929
