team,players_used,possession,90s,touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,live_touches,succ_drib,attempted_drib,succ_drib%,players_drib_past,megs,carries,carr_dist,carr_prog_dist,prog_carries,carries_final_third,carries_18y,control_errors,err_after_tckl,pass_received_att,pass_received_succ,pass_received_succ%,prog_receives
Arsenal,27,53.0,33.0,20572,2149,6507,9464,5887,947,19195,255,473,53.9,268,25,13518,71699,40133,1591,463,173,417,339,15946,13870,87.0,1029
Aston Villa,30,46.3,32.0,17101,2096,5915,7525,4658,755,15613,247,449,55.0,269,24,10519,54517,29139,1134,328,128,407,387,12434,10378,83.5,952
Brentford,28,44.0,34.0,18100,2728,7166,7580,4217,765,16544,199,379,52.5,216,24,9627,47873,25258,905,265,84,381,328,12990,10134,78.0,910
Brighton,26,55.5,34.0,22478,2572,7885,9507,6426,864,20966,300,516,58.1,322,27,14536,72129,37935,1440,423,129,419,404,17339,14845,85.6,1066
Burnley,23,39.4,33.0,15904,2163,5275,7079,4310,617,14450,230,419,54.9,254,13,8124,41072,19790,775,293,73,382,275,10748,8163,75.9,749
Chelsea,25,61.2,32.0,23783,2123,7156,11312,6783,974,22396,303,508,59.6,327,24,16339,78433,43175,1850,567,209,371,401,19288,17044,88.4,1322
Crystal Palace,24,50.3,32.0,19635,2539,7461,8940,4374,698,18099,304,555,54.8,326,26,12338,61362,31745,1167,350,131,443,475,14622,12380,84.7,857
Everton,32,40.7,32.0,16364,2108,5657,7099,4528,682,14898,270,500,54.0,298,27,9217,50190,26085,1022,324,119,403,373,11366,8912,78.4,788
Leeds United,29,54.3,32.0,19322,2400,7554,8364,4643,758,17851,269,558,48.2,296,31,12002,65058,36407,1272,352,142,401,357,14331,11913,83.1,1118
Leicester City,26,51.4,32.0,20134,2519,7533,9331,4320,689,18626,247,474,52.1,275,22,12631,57867,30391,1160,348,127,398,365,15338,13046,85.1,933
Liverpool,27,63.0,33.0,25436,2031,6584,12662,7646,1292,23924,296,551,53.7,328,27,16933,77241,43441,2002,595,217,430,396,20908,18068,86.4,1694
Manchester City,25,68.4,33.0,27005,1795,6077,13872,8934,1420,25659,319,571,55.9,344,31,19947,102579,58477,2778,704,325,320,378,22889,20891,91.3,1512
Manchester Utd,27,52.7,34.0,21807,2113,6757,10356,6086,900,20319,326,591,55.2,353,37,13910,73625,41791,1736,528,190,368,374,17099,14615,85.5,1186
Newcastle Utd,29,39.8,34.0,16489,2214,6278,6928,4284,734,14927,301,552,54.5,335,19,9511,49930,26308,988,321,130,426,417,11309,9211,81.4,676
Norwich City,27,42.8,33.0,17546,2672,7358,7312,3918,602,15975,253,507,49.9,277,28,10110,53972,29064,1014,325,97,365,339,12775,10310,80.7,817
Southampton,25,48.4,34.0,19300,2113,6036,8950,5496,844,17715,292,556,52.5,326,21,11465,63042,33531,1396,456,172,410,431,13846,11330,81.8,965
Tottenham,25,52.0,33.0,21398,2303,7183,10364,5186,806,20000,310,546,56.8,334,25,14107,72717,39664,1632,476,167,386,406,16700,14611,87.5,1141
Watford,30,40.5,33.0,16564,2274,6401,7067,4041,592,15013,347,652,53.2,374,58,9259,47414,25766,926,308,131,419,401,11328,9013,79.6,801
West Ham,25,47.8,34.0,19771,2261,6447,9138,5382,829,18280,221,462,47.8,248,33,12161,65198,32521,1310,417,141,390,351,14907,12486,83.8,1024
Wolves,25,50.3,33.0,20285,2426,7576,9250,4654,663,18870,352,659,53.4,389,44,13024,64415,35579,1377,404,153,402,351,15290,13143,86.0,929
