team,players_used,age,possession,mp,starts,minutes,90s,goals,assists,np-goals,pens_scored,pens,yellows,reds,goals_p90,assists_p90,g_a_p90,np_goals_90,np_g_a_p90,xG,np_xG,xA,np_xG_xA,xG_p90,xA_p90,xG_xA_p90,np_xG_p90,np_xG_xA_p90
Arsenal,27,25.2,53.0,33,363,"2,970",33.0,51,34,47,4,7,55,3,1.55,1.03,2.58,1.42,2.45,52.1,47.0,32.3,79.2,1.58,0.98,2.56,1.42,2.40
Aston Villa,30,26.8,46.3,32,352,"2,880",32.0,40,33,37,3,3,72,2,1.25,1.03,2.28,1.16,2.19,36.4,34.2,27.8,62.1,1.14,0.87,2.01,1.07,1.94
Brentford,28,26.2,44.0,34,374,"3,060",34.0,40,27,34,6,6,58,2,1.18,0.79,1.97,1.00,1.79,41.4,36.8,27.4,64.2,1.22,0.81,2.02,1.08,1.89
Brighton,26,26.9,55.5,34,374,"3,060",34.0,29,23,26,3,5,68,2,0.85,0.68,1.53,0.76,1.44,36.8,33.1,23.8,56.9,1.08,0.70,1.78,0.97,1.67
Burnley,23,29.4,39.4,33,363,"2,970",33.0,27,23,27,0,1,61,1,0.82,0.70,1.52,0.82,1.52,31.4,30.7,22.4,53.1,0.95,0.68,1.63,0.93,1.61
Chelsea,25,28.1,61.2,32,352,"2,880",32.0,66,44,59,7,8,52,1,2.06,1.37,3.44,1.84,3.22,56.1,50.3,38.8,89.1,1.75,1.21,2.97,1.57,2.78
Crystal Palace,24,27.9,50.3,32,352,"2,880",32.0,43,27,38,5,7,54,1,1.34,0.84,2.19,1.19,2.03,38.4,33.1,25.7,58.8,1.20,0.80,2.01,1.03,1.84
Everton,32,27.5,40.7,32,352,"2,880",32.0,33,23,28,5,6,74,4,1.03,0.72,1.75,0.87,1.59,35.1,30.6,22.1,52.8,1.10,0.69,1.79,0.96,1.65
Leeds United,29,26.9,54.3,32,352,"2,880",32.0,38,24,34,4,4,91,1,1.19,0.75,1.94,1.06,1.81,41.2,38.2,26.7,64.9,1.29,0.83,2.12,1.20,2.03
Leicester City,26,27.1,51.4,32,352,"2,880",32.0,47,35,45,2,2,47,1,1.47,1.09,2.56,1.41,2.50,41.5,40.0,27.2,67.1,1.30,0.85,2.14,1.25,2.10
Liverpool,27,28.5,63.0,33,363,"2,970",33.0,85,64,78,7,8,43,1,2.58,1.94,4.52,2.36,4.30,78.5,72.7,52.2,124.9,2.38,1.58,3.96,2.20,3.79
Manchester City,25,27.7,68.4,33,363,"2,970",33.0,78,50,71,7,8,37,1,2.36,1.52,3.88,2.15,3.67,74.7,68.4,49.8,118.2,2.26,1.51,3.77,2.07,3.58
Manchester Utd,27,27.9,52.7,34,374,"3,060",34.0,52,43,50,2,4,70,2,1.53,1.26,2.79,1.47,2.74,51.0,48.0,38.3,86.2,1.50,1.13,2.63,1.41,2.54
Newcastle Utd,29,28.3,39.8,34,374,"3,060",34.0,38,22,36,2,2,77,2,1.12,0.65,1.76,1.06,1.71,35.5,34.0,22.5,56.5,1.04,0.66,1.71,1.00,1.66
Norwich City,27,26.9,42.8,33,363,"2,970",33.0,20,15,17,3,3,49,1,0.61,0.45,1.06,0.52,0.97,29.2,27.0,19.6,46.6,0.89,0.59,1.48,0.82,1.41
Southampton,25,26.4,48.4,34,374,"3,060",34.0,38,24,35,3,3,60,2,1.12,0.71,1.82,1.03,1.74,44.1,41.8,31.0,72.8,1.30,0.91,2.21,1.23,2.14
Tottenham,25,27.3,52.0,33,363,"2,970",33.0,50,41,47,3,3,60,1,1.52,1.24,2.76,1.42,2.67,53.8,51.5,41.5,93.0,1.63,1.26,2.89,1.56,2.82
Watford,30,29.2,40.5,33,363,"2,970",33.0,31,25,30,1,2,58,2,0.94,0.76,1.70,0.91,1.67,34.5,33.0,25.3,58.3,1.05,0.77,1.81,1.00,1.77
West Ham,25,28.9,47.8,34,374,"3,060",34.0,50,41,47,3,5,45,3,1.47,1.21,2.68,1.38,2.59,45.0,41.7,33.0,74.7,1.32,0.97,2.30,1.23,2.20
Wolves,25,28.1,50.3,33,363,"2,970",33.0,30,18,29,1,1,57,2,0.91,0.55,1.45,0.88,1.42,30.8,30.2,20.8,51.1,0.93,0.63,1.56,0.92,1.55
